index,category_type_id
1,Equivalent Expressions
2,Circle Graphs
3,Quadratics # of Solutions
4,Lines # of Solutions
5,SOE Solutions
6,DRT
7,Stats
8,Solving Quadratics
9,Exponential Equations
10,Exponents and Radicals
11,Increasing/Decreasing by Percents
12,Function Transformations
13,"Function Notation, Embedded, on XY"
14,Square/Cubic Conversions
15,SOHCAHTOA
16,Triangles
17,Parallel Lines
18,Ratios
19,Lines from Tables
20,Probabilities
21,Sampling
22,Inequalities
23,Basic Algebra
24,Lines from Graphs
25,Radians vs Degrees
26,Absolute Values
27,Volumes